trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
250,False,"{'a': 0.99, 'e': 0.6235737496125839}",30,9,-87.23149644795853,"{0: 15, 1: 2, 2: 2, 3: 0, 4: 2}",1
251,False,"{'a': 0.99, 'e': 0.6221880446110343}",20,0,-11.93513768409357,"{0: 17, 1: 0, 2: 2, 3: 1, 4: 0}",0
252,False,"{'a': 0.99, 'e': 0.6208023396094846}",20,0,-70.30475357738473,"{0: 14, 1: 2, 2: 2, 3: 1, 4: 1}",0
253,False,"{'a': 0.99, 'e': 0.619416634607935}",30,16,-88.73252490242366,"{0: 9, 1: 1, 2: 2, 3: 0, 4: 2}",1
254,False,"{'a': 0.99, 'e': 0.6180309296063853}",25,1,-94.47993143907776,"{0: 17, 1: 1, 2: 4, 3: 0, 4: 2}",1
255,False,"{'a': 0.99, 'e': 0.6166452246048356}",30,11,9.170131073133982,"{0: 16, 1: 2, 2: 1, 3: 0, 4: 0}",1
256,False,"{'a': 0.99, 'e': 0.615259519603286}",20,0,-25.492758063666308,"{0: 15, 1: 0, 2: 5, 3: 0, 4: 0}",0
257,False,"{'a': 0.99, 'e': 0.6138738146017363}",25,16,16.750663058292293,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
258,False,"{'a': 0.99, 'e': 0.6124881096001866}",25,14,-46.716045729688375,"{0: 8, 1: 0, 2: 2, 3: 0, 4: 1}",1
259,False,"{'a': 0.99, 'e': 0.611102404598637}",20,1,-54.99002952313116,"{0: 14, 1: 2, 2: 1, 3: 1, 4: 1}",1
260,False,"{'a': 0.99, 'e': 0.6097166995970873}",20,0,-74.59428409670294,"{0: 13, 1: 1, 2: 5, 3: 0, 4: 1}",0
261,False,"{'a': 0.99, 'e': 0.6083309945955376}",20,5,-44.59036440299115,"{0: 10, 1: 0, 2: 4, 3: 1, 4: 0}",1
262,False,"{'a': 0.99, 'e': 0.606945289593988}",25,0,-68.22398710258814,"{0: 22, 1: 0, 2: 1, 3: 0, 4: 2}",0
263,False,"{'a': 0.99, 'e': 0.6055595845924383}",25,0,-21.09663925012434,"{0: 19, 1: 2, 2: 4, 3: 0, 4: 0}",0
264,False,"{'a': 0.99, 'e': 0.6041738795908886}",30,0,-119.89688055769227,"{0: 21, 1: 1, 2: 6, 3: 0, 4: 2}",0
265,False,"{'a': 0.99, 'e': 0.602788174589339}",20,0,-49.042118313390084,"{0: 14, 1: 0, 2: 5, 3: 1, 4: 0}",0
266,False,"{'a': 0.99, 'e': 0.6014024695877893}",20,8,-6.184431018003254,"{0: 9, 1: 2, 2: 1, 3: 0, 4: 0}",1
267,False,"{'a': 0.99, 'e': 0.6000167645862396}",25,0,-44.958142097998234,"{0: 20, 1: 1, 2: 3, 3: 0, 4: 1}",0
268,False,"{'a': 0.99, 'e': 0.59863105958469}",30,13,-26.178762333803597,"{0: 13, 1: 0, 2: 3, 3: 1, 4: 0}",1
269,False,"{'a': 0.99, 'e': 0.5972453545831403}",30,0,-129.63870708809372,"{0: 19, 1: 5, 2: 3, 3: 1, 4: 2}",0
270,False,"{'a': 0.99, 'e': 0.5958596495815907}",30,4,-8.75050525719943,"{0: 23, 1: 0, 2: 2, 3: 1, 4: 0}",1
271,False,"{'a': 0.99, 'e': 0.594473944580041}",25,0,-89.89795448193101,"{0: 18, 1: 0, 2: 5, 3: 1, 4: 1}",0
272,False,"{'a': 0.99, 'e': 0.5930882395784913}",30,0,-88.43573156429693,"{0: 20, 1: 2, 2: 6, 3: 2, 4: 0}",0
273,False,"{'a': 0.99, 'e': 0.5917025345769417}",25,0,-78.31098150331238,"{0: 18, 1: 2, 2: 3, 3: 1, 4: 1}",0
274,False,"{'a': 0.99, 'e': 0.590316829575392}",25,0,-91.09590149177198,"{0: 19, 1: 1, 2: 3, 3: 0, 4: 2}",0
275,False,"{'a': 0.99, 'e': 0.5889311245738423}",25,0,-58.27517482813064,"{0: 18, 1: 1, 2: 4, 3: 2, 4: 0}",0
276,False,"{'a': 0.99, 'e': 0.5875454195722927}",20,15,2.70350446378881,"{0: 4, 1: 1, 2: 0, 3: 0, 4: 0}",1
277,False,"{'a': 0.99, 'e': 0.586159714570743}",20,0,-58.03572661892492,"{0: 16, 1: 1, 2: 1, 3: 1, 4: 1}",0
278,False,"{'a': 0.99, 'e': 0.5847740095691933}",25,0,4.355784610742984,"{0: 22, 1: 1, 2: 2, 3: 0, 4: 0}",0
279,False,"{'a': 0.99, 'e': 0.5833883045676437}",20,10,-8.900032262764537,"{0: 8, 1: 1, 2: 0, 3: 1, 4: 0}",1
280,False,"{'a': 0.99, 'e': 0.582002599566094}",20,0,1.2073206026431185,"{0: 18, 1: 1, 2: 0, 3: 1, 4: 0}",0
281,False,"{'a': 0.99, 'e': 0.5806168945645444}",20,2,-37.54188772575929,"{0: 14, 1: 2, 2: 1, 3: 0, 4: 1}",1
282,False,"{'a': 0.99, 'e': 0.5792311895629947}",20,0,-56.034613441419296,"{0: 16, 1: 0, 2: 2, 3: 1, 4: 1}",0
283,False,"{'a': 0.99, 'e': 0.577845484561445}",20,0,-39.73293375324197,"{0: 14, 1: 2, 2: 3, 3: 1, 4: 0}",0
284,False,"{'a': 0.99, 'e': 0.5764597795598954}",20,5,7.118840312453484,"{0: 13, 1: 1, 2: 1, 3: 0, 4: 0}",1
285,False,"{'a': 0.99, 'e': 0.5750740745583457}",25,0,-52.46014356895814,"{0: 17, 1: 4, 2: 3, 3: 1, 4: 0}",0
286,False,"{'a': 0.99, 'e': 0.573688369556796}",25,9,-0.9976879208836609,"{0: 14, 1: 1, 2: 0, 3: 1, 4: 0}",1
287,False,"{'a': 0.99, 'e': 0.5723026645552464}",30,0,-47.751478398898215,"{0: 26, 1: 1, 2: 1, 3: 1, 4: 1}",0
288,False,"{'a': 0.99, 'e': 0.5709169595536967}",25,5,-4.7621736093189995,"{0: 17, 1: 1, 2: 1, 3: 1, 4: 0}",1
289,False,"{'a': 0.99, 'e': 0.569531254552147}",20,0,-11.024899866428456,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
290,False,"{'a': 0.99, 'e': 0.5681455495505974}",20,0,4.387440416103998,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
291,False,"{'a': 0.99, 'e': 0.5667598445490477}",25,12,-40.02413480207775,"{0: 10, 1: 0, 2: 2, 3: 0, 4: 1}",1
292,False,"{'a': 0.99, 'e': 0.565374139547498}",25,0,-35.406843031939886,"{0: 19, 1: 1, 2: 4, 3: 1, 4: 0}",0
293,False,"{'a': 0.99, 'e': 0.5639884345459484}",25,15,6.129350451989891,"{0: 8, 1: 2, 2: 0, 3: 0, 4: 0}",1
294,False,"{'a': 0.99, 'e': 0.5626027295443987}",30,0,-88.25940683025807,"{0: 24, 1: 1, 2: 3, 3: 0, 4: 2}",0
295,False,"{'a': 0.99, 'e': 0.561217024542849}",25,0,4.889168411824782,"{0: 23, 1: 0, 2: 1, 3: 1, 4: 0}",0
296,False,"{'a': 0.99, 'e': 0.5598313195412994}",20,9,-26.405590923522503,"{0: 7, 1: 0, 2: 4, 3: 0, 4: 0}",1
297,False,"{'a': 0.99, 'e': 0.5584456145397497}",25,0,-58.00026752274748,"{0: 20, 1: 0, 2: 4, 3: 0, 4: 1}",0
298,False,"{'a': 0.99, 'e': 0.5570599095382001}",25,0,-27.422010183972446,"{0: 17, 1: 5, 2: 3, 3: 0, 4: 0}",0
299,False,"{'a': 0.99, 'e': 0.5556742045366504}",20,0,-35.81263144574924,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",0
300,False,"{'a': 0.99, 'e': 0.5542884995351007}",20,0,-26.636922256869447,"{0: 16, 1: 1, 2: 2, 3: 1, 4: 0}",0
301,False,"{'a': 0.99, 'e': 0.5529027945335511}",20,0,-0.015793542371871028,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
302,False,"{'a': 0.99, 'e': 0.5515170895320014}",20,1,-6.861827364918977,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 0}",1
303,False,"{'a': 0.99, 'e': 0.5501313845304517}",25,0,-17.47661373563059,"{0: 19, 1: 3, 2: 3, 3: 0, 4: 0}",0
304,False,"{'a': 0.99, 'e': 0.5487456795289021}",30,4,-74.72077969732642,"{0: 18, 1: 1, 2: 6, 3: 0, 4: 1}",1
305,False,"{'a': 0.99, 'e': 0.5473599745273524}",20,0,-79.24039221947423,"{0: 12, 1: 1, 2: 5, 3: 2, 4: 0}",0
306,False,"{'a': 0.99, 'e': 0.5459742695258027}",20,0,5.828571771293593,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
307,False,"{'a': 0.99, 'e': 0.5445885645242531}",35,0,-37.354704168217324,"{0: 28, 1: 3, 2: 3, 3: 1, 4: 0}",0
308,False,"{'a': 0.99, 'e': 0.5432028595227034}",20,0,21.919197705939204,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",1
309,False,"{'a': 0.99, 'e': 0.5418171545211538}",20,0,-62.44066988584026,"{0: 15, 1: 1, 2: 2, 3: 1, 4: 1}",0
310,False,"{'a': 0.99, 'e': 0.5404314495196041}",25,5,-37.412592263953,"{0: 14, 1: 2, 2: 3, 3: 1, 4: 0}",1
311,False,"{'a': 0.99, 'e': 0.5390457445180544}",20,0,-89.02073929150136,"{0: 15, 1: 0, 2: 3, 3: 0, 4: 2}",0
312,False,"{'a': 0.99, 'e': 0.5376600395165048}",20,11,3.647960916163247,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
313,False,"{'a': 0.99, 'e': 0.5362743345149551}",20,2,25.892186914356934,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
314,False,"{'a': 0.99, 'e': 0.5348886295134054}",25,0,-8.770250985718105,"{0: 21, 1: 0, 2: 4, 3: 0, 4: 0}",0
315,False,"{'a': 0.99, 'e': 0.5335029245118558}",25,0,-166.57029063549484,"{0: 15, 1: 2, 2: 5, 3: 0, 4: 3}",0
316,False,"{'a': 0.99, 'e': 0.5321172195103061}",20,0,4.66543147863191,"{0: 17, 1: 2, 2: 1, 3: 0, 4: 0}",0
317,False,"{'a': 0.99, 'e': 0.5307315145087564}",25,5,-65.7190803806755,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 1}",1
318,False,"{'a': 0.99, 'e': 0.5293458095072068}",20,13,1.2878990900052634,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
319,False,"{'a': 0.99, 'e': 0.5279601045056571}",20,0,-20.978937289817114,"{0: 16, 1: 0, 2: 4, 3: 0, 4: 0}",0
320,False,"{'a': 0.99, 'e': 0.5265743995041074}",20,0,-129.98433133326535,"{0: 12, 1: 0, 2: 5, 3: 1, 4: 2}",0
321,False,"{'a': 0.99, 'e': 0.5251886945025578}",35,0,-17.978101198609867,"{0: 29, 1: 1, 2: 5, 3: 0, 4: 0}",0
322,False,"{'a': 0.99, 'e': 0.5238029895010081}",25,20,10.794162076154505,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
323,False,"{'a': 0.99, 'e': 0.5224172844994585}",25,4,-107.80456728221053,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 2}",1
324,False,"{'a': 0.99, 'e': 0.5210315794979088}",30,3,-54.80061963710778,"{0: 19, 1: 3, 2: 4, 3: 1, 4: 0}",1
325,False,"{'a': 0.99, 'e': 0.5196458744963591}",35,0,-63.59942111221945,"{0: 25, 1: 3, 2: 6, 3: 1, 4: 0}",0
326,False,"{'a': 0.99, 'e': 0.5182601694948095}",30,13,16.521834473025773,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
327,False,"{'a': 0.99, 'e': 0.5168744644932598}",20,0,-57.12707761757057,"{0: 16, 1: 0, 2: 2, 3: 1, 4: 1}",0
328,False,"{'a': 0.99, 'e': 0.5154887594917101}",20,0,-19.84459397156494,"{0: 18, 1: 1, 2: 0, 3: 0, 4: 1}",0
329,False,"{'a': 0.99, 'e': 0.5141030544901605}",25,0,-44.87709542598352,"{0: 18, 1: 1, 2: 5, 3: 1, 4: 0}",0
330,False,"{'a': 0.99, 'e': 0.5127173494886108}",25,0,-9.590615882465666,"{0: 23, 1: 0, 2: 1, 3: 1, 4: 0}",0
331,False,"{'a': 0.99, 'e': 0.5113316444870611}",20,8,-56.88920809238486,"{0: 8, 1: 0, 2: 3, 3: 0, 4: 1}",1
332,False,"{'a': 0.99, 'e': 0.5099459394855115}",25,0,-14.523401247359669,"{0: 19, 1: 3, 2: 3, 3: 0, 4: 0}",0
333,False,"{'a': 0.99, 'e': 0.5085602344839618}",20,7,12.099883932928854,"{0: 12, 1: 1, 2: 0, 3: 0, 4: 0}",1
334,False,"{'a': 0.99, 'e': 0.5071745294824122}",30,11,-13.782449466448648,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 0}",1
335,False,"{'a': 0.99, 'e': 0.5057888244808625}",20,0,-90.0948378493224,"{0: 15, 1: 0, 2: 3, 3: 0, 4: 2}",0
336,False,"{'a': 0.99, 'e': 0.5044031194793128}",25,0,-60.2695883820067,"{0: 18, 1: 3, 2: 3, 3: 0, 4: 1}",0
337,False,"{'a': 0.99, 'e': 0.5030174144777632}",20,4,-2.327981190903386,"{0: 14, 1: 0, 2: 2, 3: 0, 4: 0}",1
338,False,"{'a': 0.99, 'e': 0.5016317094762135}",25,0,-5.684974740537046,"{0: 21, 1: 2, 2: 2, 3: 0, 4: 0}",0
339,False,"{'a': 0.99, 'e': 0.5002460044746638}",20,10,-16.4188233590053,"{0: 7, 1: 0, 2: 3, 3: 0, 4: 0}",1
340,False,"{'a': 0.99, 'e': 0.49886029947311417}",25,12,-16.118563330332524,"{0: 10, 1: 1, 2: 1, 3: 1, 4: 0}",1
341,False,"{'a': 0.99, 'e': 0.4974745944715645}",30,20,7.510884532782797,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 0}",1
342,False,"{'a': 0.99, 'e': 0.49608888947001484}",20,0,-2.121938782533646,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
343,False,"{'a': 0.99, 'e': 0.4947031844684652}",25,0,-54.99595170856365,"{0: 20, 1: 1, 2: 2, 3: 1, 4: 1}",0
344,False,"{'a': 0.99, 'e': 0.4933174794669155}",25,7,-31.583258660918485,"{0: 14, 1: 0, 2: 3, 3: 1, 4: 0}",1
345,False,"{'a': 0.99, 'e': 0.49193177446536585}",20,0,-62.54094826069888,"{0: 13, 1: 4, 2: 2, 3: 0, 4: 1}",0
346,False,"{'a': 0.99, 'e': 0.4905460694638162}",20,0,-121.93041634357843,"{0: 13, 1: 1, 2: 3, 3: 1, 4: 2}",0
347,False,"{'a': 0.99, 'e': 0.4891603644622665}",25,0,-38.06221032517703,"{0: 22, 1: 0, 2: 2, 3: 0, 4: 1}",0
348,False,"{'a': 0.99, 'e': 0.48777465946071685}",25,0,-96.67382991331553,"{0: 18, 1: 1, 2: 4, 3: 0, 4: 2}",0
349,False,"{'a': 0.99, 'e': 0.4863889544591672}",20,14,10.039127790562148,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
350,False,"{'a': 0.99, 'e': 0.4850032494576175}",20,5,17.851495539865738,"{0: 14, 1: 1, 2: 0, 3: 0, 4: 0}",1
351,False,"{'a': 0.99, 'e': 0.48361754445606786}",25,0,-6.750724115408632,"{0: 21, 1: 1, 2: 3, 3: 0, 4: 0}",0
352,False,"{'a': 0.99, 'e': 0.4822318394545182}",20,0,-101.21449453436173,"{0: 16, 1: 0, 2: 0, 3: 2, 4: 2}",0
353,False,"{'a': 0.99, 'e': 0.48084613445296853}",25,0,-47.53188911559307,"{0: 20, 1: 1, 2: 3, 3: 0, 4: 1}",0
354,False,"{'a': 0.99, 'e': 0.47946042945141887}",30,0,-80.23239076063524,"{0: 24, 1: 1, 2: 3, 3: 0, 4: 2}",0
355,False,"{'a': 0.99, 'e': 0.4780747244498692}",20,0,-84.94775409136646,"{0: 13, 1: 1, 2: 4, 3: 1, 4: 1}",0
356,False,"{'a': 0.99, 'e': 0.47668901944831954}",20,11,7.374447448973348,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
357,False,"{'a': 0.99, 'e': 0.4753033144467699}",25,4,8.036624624363075,"{0: 18, 1: 1, 2: 2, 3: 0, 4: 0}",1
358,False,"{'a': 0.99, 'e': 0.4739176094452202}",20,0,-8.456452128097922,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
359,False,"{'a': 0.99, 'e': 0.47253190444367055}",30,11,-59.21140929936713,"{0: 13, 1: 2, 2: 3, 3: 0, 4: 1}",1
360,False,"{'a': 0.99, 'e': 0.4711461994421209}",20,10,-43.42720167210719,"{0: 8, 1: 0, 2: 0, 3: 1, 4: 1}",1
361,False,"{'a': 0.99, 'e': 0.4697604944405712}",30,0,-40.36802155585842,"{0: 24, 1: 0, 2: 4, 3: 2, 4: 0}",0
362,False,"{'a': 0.99, 'e': 0.46837478943902155}",25,0,-131.53170328271887,"{0: 16, 1: 1, 2: 5, 3: 1, 4: 2}",0
363,False,"{'a': 0.99, 'e': 0.4669890844374719}",30,10,-16.475727151046467,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",1
364,False,"{'a': 0.99, 'e': 0.4656033794359222}",25,0,10.927845908913973,"{0: 23, 1: 0, 2: 2, 3: 0, 4: 0}",0
365,False,"{'a': 0.99, 'e': 0.46421767443437256}",20,0,18.868290677473627,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
366,False,"{'a': 0.99, 'e': 0.4628319694328229}",25,9,4.094404886441429,"{0: 15, 1: 0, 2: 0, 3: 1, 4: 0}",1
367,False,"{'a': 0.99, 'e': 0.46144626443127323}",25,10,-4.875029061666909,"{0: 12, 1: 1, 2: 2, 3: 0, 4: 0}",1
368,False,"{'a': 0.99, 'e': 0.46006055942972357}",25,0,-72.14523667291812,"{0: 21, 1: 0, 2: 2, 3: 0, 4: 2}",0
369,False,"{'a': 0.99, 'e': 0.4586748544281739}",30,0,-25.426520630851385,"{0: 27, 1: 0, 2: 2, 3: 0, 4: 1}",0
370,False,"{'a': 0.99, 'e': 0.45728914942662424}",20,0,-14.828546212486367,"{0: 17, 1: 1, 2: 1, 3: 1, 4: 0}",0
371,False,"{'a': 0.99, 'e': 0.4559034444250746}",20,0,9.203215928319407,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
372,False,"{'a': 0.99, 'e': 0.4545177394235249}",25,17,6.711376809242392,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
373,False,"{'a': 0.99, 'e': 0.45313203442197525}",20,0,-125.08463515980434,"{0: 13, 1: 2, 2: 1, 3: 2, 4: 2}",0
374,False,"{'a': 0.99, 'e': 0.4517463294204256}",30,0,-51.623847882994205,"{0: 25, 1: 1, 2: 2, 3: 1, 4: 1}",0
375,False,"{'a': 0.99, 'e': 0.4503606244188759}",30,1,-155.281812982376,"{0: 21, 1: 2, 2: 2, 3: 0, 4: 4}",1
376,False,"{'a': 0.99, 'e': 0.44897491941732626}",20,6,-32.711519635411115,"{0: 10, 1: 0, 2: 3, 3: 1, 4: 0}",1
377,False,"{'a': 0.99, 'e': 0.4475892144157766}",35,0,-52.99679887666501,"{0: 28, 1: 3, 2: 2, 3: 1, 4: 1}",0
378,False,"{'a': 0.99, 'e': 0.44620350941422693}",30,0,25.75685845545219,"{0: 28, 1: 2, 2: 0, 3: 0, 4: 0}",0
379,False,"{'a': 0.99, 'e': 0.44481780441267726}",20,7,10.048756572214975,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
380,False,"{'a': 0.99, 'e': 0.4434320994111276}",25,11,-4.718950984798523,"{0: 11, 1: 2, 2: 1, 3: 0, 4: 0}",1
381,False,"{'a': 0.99, 'e': 0.44204639440957794}",20,0,17.108879803235247,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
382,False,"{'a': 0.99, 'e': 0.44066068940802827}",20,0,-17.071561275353492,"{0: 15, 1: 2, 2: 3, 3: 0, 4: 0}",0
383,False,"{'a': 0.99, 'e': 0.4392749844064786}",20,11,11.106839268776417,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
384,False,"{'a': 0.99, 'e': 0.43788927940492894}",20,0,-90.79073218681751,"{0: 16, 1: 0, 2: 1, 3: 1, 4: 2}",0
385,False,"{'a': 0.99, 'e': 0.4365035744033793}",20,13,4.994890217740473,"{0: 6, 1: 1, 2: 0, 3: 0, 4: 0}",1
386,False,"{'a': 0.99, 'e': 0.4351178694018296}",20,5,24.288399894251345,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
387,False,"{'a': 0.99, 'e': 0.43373216440027995}",25,0,-7.599659729763291,"{0: 22, 1: 0, 2: 2, 3: 1, 4: 0}",0
388,False,"{'a': 0.99, 'e': 0.4323464593987303}",30,0,-70.2857955710917,"{0: 23, 1: 2, 2: 3, 3: 1, 4: 1}",0
389,False,"{'a': 0.99, 'e': 0.4309607543971806}",20,0,-51.64491033314503,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
390,False,"{'a': 0.99, 'e': 0.42957504939563096}",25,6,-41.67576229396279,"{0: 14, 1: 0, 2: 4, 3: 1, 4: 0}",1
391,False,"{'a': 0.99, 'e': 0.4281893443940813}",25,11,16.952882518991377,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
392,False,"{'a': 0.99, 'e': 0.42680363939253163}",25,0,-49.439644104977205,"{0: 21, 1: 0, 2: 2, 3: 1, 4: 1}",0
393,False,"{'a': 0.99, 'e': 0.42541793439098197}",20,0,-6.198861418201366,"{0: 16, 1: 2, 2: 2, 3: 0, 4: 0}",0
394,False,"{'a': 0.99, 'e': 0.4240322293894323}",20,0,-25.916287099955383,"{0: 15, 1: 2, 2: 2, 3: 1, 4: 0}",0
395,False,"{'a': 0.99, 'e': 0.42264652438788264}",25,13,-47.38281742520088,"{0: 8, 1: 1, 2: 2, 3: 0, 4: 1}",1
396,False,"{'a': 0.99, 'e': 0.421260819386333}",20,7,-25.96283490367881,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 1}",1
397,False,"{'a': 0.99, 'e': 0.4198751143847833}",25,5,-106.47085515794875,"{0: 14, 1: 0, 2: 3, 3: 1, 4: 2}",1
398,False,"{'a': 0.99, 'e': 0.41848940938323365}",20,0,-0.7084926876710609,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",1
399,False,"{'a': 0.99, 'e': 0.417103704381684}",30,9,17.09332882200001,"{0: 19, 1: 1, 2: 1, 3: 0, 4: 0}",1
400,False,"{'a': 0.99, 'e': 0.4157179993801343}",20,0,-23.19525787391435,"{0: 15, 1: 4, 2: 0, 3: 1, 4: 0}",0
401,False,"{'a': 0.99, 'e': 0.41433229437858465}",30,0,-55.4325719338466,"{0: 24, 1: 2, 2: 2, 3: 1, 4: 1}",0
402,False,"{'a': 0.99, 'e': 0.412946589377035}",25,0,-60.75528908591933,"{0: 19, 1: 1, 2: 4, 3: 0, 4: 1}",0
403,False,"{'a': 0.99, 'e': 0.4115608843754853}",25,0,-58.96330308931672,"{0: 19, 1: 1, 2: 4, 3: 0, 4: 1}",0
404,False,"{'a': 0.99, 'e': 0.41017517937393566}",25,0,22.08869741500922,"{0: 24, 1: 1, 2: 0, 3: 0, 4: 0}",1
405,False,"{'a': 0.99, 'e': 0.408789474372386}",20,0,4.334424362330866,"{0: 17, 1: 2, 2: 1, 3: 0, 4: 0}",0
406,False,"{'a': 0.99, 'e': 0.40740376937083633}",25,0,24.3162054165058,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
407,False,"{'a': 0.99, 'e': 0.40601806436928667}",25,0,-94.56908497433304,"{0: 16, 1: 3, 2: 4, 3: 1, 4: 1}",0
408,False,"{'a': 0.99, 'e': 0.404632359367737}",30,0,-57.61126777145547,"{0: 24, 1: 1, 2: 4, 3: 0, 4: 1}",0
409,False,"{'a': 0.99, 'e': 0.40324665436618734}",25,10,-24.65165064897653,"{0: 11, 1: 2, 2: 1, 3: 1, 4: 0}",1
410,False,"{'a': 0.99, 'e': 0.4018609493646377}",20,13,-30.621250096416237,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 1}",1
411,False,"{'a': 0.99, 'e': 0.400475244363088}",35,0,-93.99630713032987,"{0: 28, 1: 2, 2: 2, 3: 1, 4: 2}",0
412,False,"{'a': 0.99, 'e': 0.39908953936153835}",20,0,-96.61870904248494,"{0: 16, 1: 0, 2: 0, 3: 2, 4: 2}",0
413,False,"{'a': 0.99, 'e': 0.3977038343599887}",30,20,-5.417371533944147,"{0: 9, 1: 0, 2: 0, 3: 1, 4: 0}",1
414,False,"{'a': 0.99, 'e': 0.396318129358439}",30,10,-45.61472916529575,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 1}",1
415,False,"{'a': 0.99, 'e': 0.39493242435688936}",20,13,-8.25975350882566,"{0: 6, 1: 0, 2: 0, 3: 1, 4: 0}",1
416,False,"{'a': 0.99, 'e': 0.3935467193553397}",20,4,17.838570725898514,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 0}",1
417,False,"{'a': 0.99, 'e': 0.39216101435379}",30,0,6.091316927660762,"{0: 28, 1: 0, 2: 1, 3: 1, 4: 0}",0
418,False,"{'a': 0.99, 'e': 0.39077530935224036}",25,9,-3.8807372233420057,"{0: 14, 1: 0, 2: 1, 3: 1, 4: 0}",1
419,False,"{'a': 0.99, 'e': 0.3893896043506907}",25,16,15.814481335420352,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
420,False,"{'a': 0.99, 'e': 0.38800389934914103}",20,11,15.096485222090077,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
421,False,"{'a': 0.99, 'e': 0.38661819434759137}",30,14,-51.53776855063655,"{0: 11, 1: 2, 2: 2, 3: 0, 4: 1}",1
422,False,"{'a': 0.99, 'e': 0.3852324893460417}",25,4,4.813252914654435,"{0: 18, 1: 1, 2: 2, 3: 0, 4: 0}",1
423,False,"{'a': 0.99, 'e': 0.38384678434449204}",25,2,-21.678355482346344,"{0: 18, 1: 0, 2: 5, 3: 0, 4: 0}",1
424,False,"{'a': 0.99, 'e': 0.3824610793429424}",30,0,-20.616552113779484,"{0: 24, 1: 2, 2: 3, 3: 1, 4: 0}",0
425,False,"{'a': 0.99, 'e': 0.3810753743413927}",25,3,-139.01539793438772,"{0: 17, 1: 1, 2: 0, 3: 0, 4: 4}",1
426,False,"{'a': 0.99, 'e': 0.37968966933984305}",20,0,15.294192795840134,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
427,False,"{'a': 0.99, 'e': 0.3783039643382934}",20,10,-56.79730113826832,"{0: 7, 1: 0, 2: 1, 3: 1, 4: 1}",1
428,False,"{'a': 0.99, 'e': 0.3769182593367437}",25,19,7.882207628241516,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
429,False,"{'a': 0.99, 'e': 0.37553255433519406}",30,3,-75.58914513113079,"{0: 22, 1: 0, 2: 3, 3: 0, 4: 2}",1
430,False,"{'a': 0.99, 'e': 0.3741468493336444}",35,6,-1.7982583514926667,"{0: 26, 1: 0, 2: 2, 3: 1, 4: 0}",1
431,False,"{'a': 0.99, 'e': 0.37276114433209473}",20,14,13.076466513000218,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
432,False,"{'a': 0.99, 'e': 0.37137543933054507}",20,0,-52.364587295378705,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 1}",0
433,False,"{'a': 0.99, 'e': 0.3699897343289954}",25,14,9.64889851107785,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 0}",1
