trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
110,False,"{'a': 0.99, 'e': 0.8175724498295369}",20,5,-99.30083490605298,"{0: 10, 1: 1, 2: 1, 3: 1, 4: 2}",1
111,False,"{'a': 0.99, 'e': 0.8161867448279873}",25,0,-131.0746493628057,"{0: 16, 1: 2, 2: 4, 3: 1, 4: 2}",0
112,False,"{'a': 0.99, 'e': 0.8148010398264376}",25,0,-105.81453260754408,"{0: 18, 1: 1, 2: 2, 3: 3, 4: 1}",0
113,False,"{'a': 0.99, 'e': 0.8134153348248879}",20,0,-25.588309980570692,"{0: 15, 1: 0, 2: 5, 3: 0, 4: 0}",0
114,False,"{'a': 0.99, 'e': 0.8120296298233383}",20,0,-44.961534691053316,"{0: 14, 1: 0, 2: 6, 3: 0, 4: 0}",0
115,False,"{'a': 0.99, 'e': 0.8106439248217886}",25,0,-102.49112332437923,"{0: 19, 1: 0, 2: 2, 3: 3, 4: 1}",0
116,False,"{'a': 0.99, 'e': 0.8092582198202389}",30,12,-19.811655194577764,"{0: 13, 1: 2, 2: 3, 3: 0, 4: 0}",1
117,False,"{'a': 0.99, 'e': 0.8078725148186893}",20,0,-65.12077357759428,"{0: 13, 1: 0, 2: 6, 3: 1, 4: 0}",0
118,False,"{'a': 0.99, 'e': 0.8064868098171396}",30,0,-96.85759069158972,"{0: 23, 1: 2, 2: 2, 3: 1, 4: 2}",1
119,False,"{'a': 0.99, 'e': 0.8051011048155899}",25,0,-71.54179304748511,"{0: 18, 1: 2, 2: 4, 3: 0, 4: 1}",0
120,False,"{'a': 0.99, 'e': 0.8037153998140403}",25,12,-33.99036290417058,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 1}",1
121,False,"{'a': 0.99, 'e': 0.8023296948124906}",30,0,-29.63213689005798,"{0: 25, 1: 0, 2: 4, 3: 1, 4: 0}",0
122,False,"{'a': 0.99, 'e': 0.800943989810941}",35,0,-117.18180927039444,"{0: 25, 1: 2, 2: 6, 3: 0, 4: 2}",0
123,False,"{'a': 0.99, 'e': 0.7995582848093913}",20,0,-127.24149638046217,"{0: 10, 1: 4, 2: 4, 3: 0, 4: 2}",0
124,False,"{'a': 0.99, 'e': 0.7981725798078416}",20,0,-94.27078646678498,"{0: 11, 1: 4, 2: 3, 3: 1, 4: 1}",0
125,False,"{'a': 0.99, 'e': 0.796786874806292}",20,0,-59.0702930005102,"{0: 15, 1: 0, 2: 4, 3: 0, 4: 1}",0
126,False,"{'a': 0.99, 'e': 0.7954011698047423}",25,10,-66.83922802158631,"{0: 11, 1: 0, 2: 2, 3: 1, 4: 1}",1
127,False,"{'a': 0.99, 'e': 0.7940154648031926}",30,0,-170.93491815425887,"{0: 20, 1: 1, 2: 5, 3: 1, 4: 3}",0
128,False,"{'a': 0.99, 'e': 0.792629759801643}",20,0,-64.54362117247724,"{0: 15, 1: 0, 2: 3, 3: 1, 4: 1}",0
129,False,"{'a': 0.99, 'e': 0.7912440548000933}",20,0,-186.09966297938243,"{0: 12, 1: 1, 2: 3, 3: 0, 4: 4}",0
